id,date,source,text,jpgURL,name,stage,rating,prediction,isDog,retweetCount,favoriteCount
892420643555336193,2017-08-01,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Phineas,None,13,orange,No,7674,36054
892177421306343426,2017-08-01,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Tilly,None,13,Chihuahua,Yes,5674,31087
891815181378084864,2017-07-31,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Archie,None,12,Chihuahua,Yes,3761,23395
891689557279858688,2017-07-30,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Darla,None,13,paper_towel,Maybe,7840,39308
891327558926688256,2017-07-29,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Franklin,None,12,basset,Yes,8445,37533
891087950875897856,2017-07-29,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,None,None,13,Chesapeake_Bay_retriever,Maybe,2830,18918
890971913173991426,2017-07-28,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Jax,None,13,Appenzeller,Maybe,1843,10996
890729181411237888,2017-07-28,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,None,None,13,Pomeranian,Yes,17128,60711
890609185150312448,2017-07-27,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Zoey,None,13,Irish_terrier,Yes,3897,26034
890240255349198849,2017-07-26,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Cassie,doggo,14,Pembroke,Yes,6659,29748
890006608113172480,2017-07-26,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Koda,None,13,Samoyed,Yes,6648,28634
889880896479866881,2017-07-25,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,Bruno,None,13,French_bulldog,Maybe,4530,26061
889665388333682689,2017-07-25,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,None,puppo,13,Pembroke,Yes,9080,44848
889638837579907072,2017-07-25,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,Ted,None,12,French_bulldog,Yes,4063,25226
889531135344209921,2017-07-24,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Stuart,puppo,13,golden_retriever,Yes,2048,14142
889278841981685760,2017-07-24,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Oliver,None,13,whippet,Yes,4844,23521
888917238123831296,2017-07-23,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Jim,None,12,golden_retriever,Yes,4078,27156
888804989199671297,2017-07-22,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Zeke,None,13,golden_retriever,Yes,3848,23859
